Country,Ages,P.2000,P.2005,P.2010,P.2015,P.2018,P.2019,SE.2010,SE.2015,SE.2018,SE.2019
OECD average,25_64,65.71836579,71.15184206,75.01100097,76.84636919,79.14580186,79.66692094,0.055418948,0.033423404,0.02821787,0.032355315
Australia ,25_64,58.787689,65.032036,73.20726,79.019104,81.891357,82.86734,,0.2482111,0.22680216,0.2321603
Austria,25_64,,76.944931,82.352501,84.648697,85.297478,85.56414,0.1206912,0.11634667,0.11326701,0.11211891
Belgium ,25_64,58.52322,66.096245,70.499512,74.677101,78.226784,78.686134,,0.1880191,0.14572097,0.14259811
Canada,25_64,80.667519,85.183495,88.263115,90.402107,91.622086,91.857964,0.12,0.11,0.12,0.11
Chile,25_64,,,,64.866493,,,,0.1305034,,
Colombia,25_64,,,,50.410896,55.186287,56.71022,,0.08090129,0.08056144,0.08048887
Czech Republic ,25_64,85.942017,89.9254,91.942635,93.158791,93.860588,93.752426,,0.07475531,0.07358775,0.07524753
Denmark,25_64,79.781113,81.016785,76.710075,80.371368,81.05925,81.589485,0.17982416,0.17280298,0.17327355,0.17354882
Estonia,25_64,85.248634,88.658356,89.135437,88.557838,89.189575,90.056503,0.30025393,0.27519435,0.24610507,0.23681097
Finland,25_64,73.162422,78.787521,82.982826,87.152863,89.073807,90.263908,,0.20590162,0.12433626,0.12011618
France,25_64,62.240974,66.810066,70.766678,77.532402,79.359978,80.438324,,0.08187133,0.08098375,0.08057337
Germany ,25_64,81.726166,83.107147,85.810318,86.791252,86.675179,86.722534,,0.05570127,0.05337743,0.05326414
Greece ,25_64,49.287651,57.713791,62.73634,70.21991,73.369476,73.956497,0.11982896,0.13136981,0.12745906,0.13168359
Hungary,25_64,69.218109,76.390182,81.292351,83.216949,84.861824,84.973633,,0.10393912,0.10778116,0.11055423
Iceland,25_64,,68.174004,70.717705,74.696091,77.872993,78.523682,0.4819544,0.47398794,0.43612868,0.44513315
Ireland,25_64,57.293076,64.533279,72.774818,79.817421,83.174568,83.657272,,0.12937096,0.14296556,0.13943195
Israel,25_64,,78.934875,82.064377,85.535118,86.365448,87.079498,,,0.07176732,0.07071714
Italy ,25_64,42.113556,50.086136,55.174355,59.891224,61.747505,62.162392,,0.08927023,0.0904209,0.09104358
Japan ,25_64,,,,,,,,,,
"Korea, Republic of",25_64,68.245049,75.6408,80.940727,85.770599,88.188354,88.729591,,,0.163406657,0.160107986
Latvia,25_64,83.240379,84.419899,88.603905,87.782051,87.631683,88.435196,0.22692786,0.22534339,0.22828929,0.22689584
Lithuania ,25_64,84.229095,87.501495,91.898819,91.355782,92.977539,93.264198,0.14412896,0.15515086,0.13573538,0.13696843
Luxembourg ,25_64,60.919254,65.853638,77.677689,74.608368,77.235176,75.145386,,0.33223277,0.2285202,0.59307194
Mexico,25_64,29.089918,28.155909,32.086128,35.663193,39.146297,39.788578,0.10887591,0.11006001,0.11232729,0.11039412
Netherlands,25_64,64.856369,71.818947,72.973579,76.399574,79.023209,79.559227,,,0.0797959,0.07971096
New Zealand,25_64,,,,74.722382,80.457207,80.697433,,,0.2913613,0.27943945
Norway,25_64,,77.213615,80.627556,82.371864,82.477631,82.519814,,0.16548258,0.15887582,0.15947607
Poland,25_64,79.880562,85.112869,88.514725,90.777977,92.4478,92.632317,,,0.068278538,0.07394905
Portugal,25_64,19.374249,26.450506,31.917542,45.122936,49.810173,52.175987,,0.16690716,0.1772424,0.18230765
Slovakia,25_64,83.806419,87.869385,90.96521,91.285263,91.57888,91.210785,,0.24763471,0.25338414,0.26173598
Slovenia,25_64,74.823418,80.296158,83.310051,86.786331,88.137299,88.797112,,0.18105949,0.1714807,0.173300408
Spain ,25_64,38.594109,48.756454,52.872963,57.434006,60.115818,61.314106,0.08120633,0.08298366,0.08315128,0.08246887
Sweden ,25_64,77.551811,83.59185,86.272629,81.975914,83.287277,83.633133,0.07714038,0.09574755,0.11241255,0.13769889
Switzerland ,25_64,83.879639,85.246902,85.033241,87.295174,88.401192,89.006927,0.12347307,0.11480553,0.11277188,0.11147264
Turkey,25_64,23.296068,28.082048,31.206043,36.992447,40.236946,41.70013,,,0.097814703,0.099292922
United Kingdom,25_64,62.611389,66.83168,75.062401,79.617668,79.292564,80.060234,,0.18264699,0.19269589,0.19219179
United States,25_64,87.442734,87.774384,88.969521,89.542137,90.823837,90.810127,0.09504887,0.09560049,0.09521527,0.09526466
China,25_64,,,24.461826,,,,,,,
Russia,25_64,,,92.804802,93.660416,95.197701,,0.03330229,0.03090559,0.09426017,
OECD average,25_34,75.81393679,79.45405624,81.73758594,83.31467403,84.89206354,85.45758377,0.118522421,0.066547859,0.055396969,0.060950759
Australia ,25_34,68.306595,78.609978,84.763695,88.079178,89.474121,90.532265,,0.39151141,0.35089374,0.35553131
Austria,25_34,,85.551224,87.817139,89.993294,88.884285,89.437874,0.23046927,0.21566296,0.22175309,0.21684891
Belgium ,25_34,75.323128,80.940819,82.098549,82.531387,85.375725,85.215088,,0.34803972,0.27316841,0.27077308
Canada,25_34,88.267365,90.762672,92.061035,93.314072,93.935204,93.97287,0.19,0.17,0.17,0.18
Chile,25_34,,,,83.229362,,,,0.19972329,,
Colombia,25_34,,,,66.924706,70.46032,72.336609,,0.13597697,0.1331846,0.13088445
Czech Republic ,25_34,92.417854,93.92675,94.239113,93.721863,93.673561,92.957176,,0.16201919,0.16835329,0.1793585
Denmark,25_34,86.915207,87.417679,79.863144,83.611397,81.77446,82.41684,0.4367725,0.3615438,0.37551919,0.37852538
Estonia,25_34,91.389977,87.291664,86.523697,87.748817,87.931274,88.503304,0.72653246,0.59574437,0.57125115,0.55824482
Finland,25_34,86.283249,89.443466,90.80555,89.534996,90.510948,91.322899,,0.42225987,0.25094965,0.24444939
France,25_34,76.389427,81.461349,83.758736,86.522041,86.997009,87.430542,,0.1525671,0.15408346,0.15581477
Germany ,25_34,84.854927,84.14196,86.498306,87.348541,87.000923,86.863564,,0.11745852,0.11316979,0.11382332
Greece ,25_34,68.701294,74.372795,75.537567,83.633514,87.013527,87.492859,0.22476734,0.24351278,0.2406821,0.25275475
Hungary,25_34,81.274368,84.983612,86.311142,85.975121,86.699417,87.339844,,0.21486513,0.23154925,0.23555584
Iceland,25_34,,70.902397,73.598572,75.190079,80.590683,81.143852,0.91067255,0.9562642,0.88792586,0.89620388
Ireland,25_34,73.046165,81.130127,85.579094,90.832603,92.441864,92.573631,,0.19495863,0.23039028,0.22961117
Israel,25_34,,85.470779,88.137405,91.159637,90.989426,91.498894,,,0.1077881,0.10575332
Italy ,25_34,56.43354,65.913315,70.975731,74.411118,75.858345,76.177002,,0.19206499,0.19405469,0.19501954
Japan ,25_34,,,,,,,,,,
"Korea, Republic of",25_34,93.241989,97.29287,97.858498,98.292564,97.774231,97.779312,,,0.143322752,0.14316279
Latvia,25_34,88.682907,80.352859,83.734772,84.878365,87.295517,88.515907,0.57273579,0.55882645,0.51971477,0.51693839
Lithuania ,25_34,91.778458,86.794853,88.298515,89.726166,93.35817,92.996063,0.40835834,0.43206617,0.33228174,0.35049641
Luxembourg ,25_34,68.163231,76.533173,84.04998,84.485893,86.892548,86.73674,,0.59279025,0.35129589,0.91436058
Mexico,25_34,37.068199,33.720089,38.343006,45.0047,50.07478,51.310452,0.2021576,0.2066409,0.21050462,0.2080213
Netherlands,25_34,74.314659,81.26564,82.740852,85.586029,87.12616,87.644447,,,0.14627969,0.14446266
New Zealand,25_34,,,,80.994553,86.744385,86.586441,,,0.50843823,0.47947428
Norway,25_34,,83.456871,82.939545,81.329926,82.15815,82.586426,,0.35477465,0.32691249,0.32269016
Poland,25_34,89.385796,91.988571,93.644257,93.909737,94.443367,94.025665,,,0.124672616,0.14588663
Portugal,25_34,31.816389,42.831749,52.115604,66.72451,71.508827,75.242584,,0.38659301,0.4119589,0.41357154
Slovakia,25_34,93.685013,92.839943,94.102562,92.810883,91.887978,90.638618,,0.49028322,0.5637365,0.61795187
Slovenia,25_34,85.429161,91.188713,93.464134,94.134964,94.343033,95.119591,,0.27117446,0.27137366,0.268089901
Spain ,25_34,55.62685,64.463715,65.327507,65.597412,67.683907,69.847176,0.16219464,0.18524568,0.19424863,0.19142845
Sweden ,25_34,87.264671,90.573105,90.821327,82.311806,82.858406,83.684593,0.13520029,0.19979614,0.23287232,0.28197542
Switzerland ,25_34,89.815979,89.752655,87.779388,91.040154,92.891136,93.721252,0.26168424,0.23680721,0.21677177,0.2112672
Turkey,25_34,27.74379,36.803181,42.20129,52.077103,57.219791,59.136887,,,0.195977219,0.196465807
United Kingdom,25_34,66.823769,73.061646,82.943954,86.179901,84.915115,85.447899,,0.3308903,0.35793728,0.35601929
United States,25_34,88.16021,86.743637,88.40667,90.481873,92.435631,92.780266,0.19401655,0.18274239,0.17463928,0.17040177
China,25_34,,,35.696335,,,,,,,
Russia,25_34,,,92.56707,93.52153,95.279358,,0.06791711,0.06284829,0.17496245,
OECD average,35_44,,,,,,82.62832366,,,,0.060419369
Australia ,35_44,,,,,,88.643082,,,,0.38530603
Austria,35_44,,,,,,87.806015,,,,0.21606089
Belgium ,35_44,,,,,,83.740364,,,,0.26359618
Canada,35_44,,,,,,94.074821,,,,0.17
Chile,35_44,,,,,,,,,,
Colombia,35_44,,,,,,61.367809,,,,0.15490381
Czech Republic ,35_44,,,,,,94.860962,,,,0.13458462
Denmark,35_44,,,,,,84.678436,,,,0.34741929
Estonia,35_44,,,,,,88.08091,,,,0.50522298
Finland,35_44,,,,,,93.14286,,,,0.20932075
France,35_44,,,,,,85.631477,,,,0.14708155
Germany ,35_44,,,,,,86.372742,,,,0.11482655
Greece ,35_44,,,,,,79.826096,,,,0.24528308
Hungary,35_44,,,,,,86.316635,,,,0.21072653
Iceland,35_44,,,,,,82.55864,,,,0.81971031
Ireland,35_44,,,,,,89.81382,,,,0.21431591
Israel,35_44,,,,,,88.924278,,,,0.12575807
Italy ,35_44,,,,,,68.337166,,,,0.1809267
Japan ,35_44,,,,,,,,,,
"Korea, Republic of",35_44,,,,,,97.928253,,,,0.132466312
Latvia,35_44,,,,,,83.853874,,,,0.55706149
Lithuania ,35_44,,,,,,89.440269,,,,0.36975738
Luxembourg ,35_44,,,,,,81.464561,,,,1.0441452
Mexico,35_44,,,,,,39.361618,,,,0.20958319
Netherlands,35_44,,,,,,84.358971,,,,0.15551099
New Zealand,35_44,,,,,,84.482178,,,,0.51323247
Norway,35_44,,,,,,84.520477,,,,0.30848923
Poland,35_44,,,,,,94.677818,,,,0.12537594
Portugal,35_44,,,,,,63.085831,,,,0.3585051
Slovakia,35_44,,,,,,92.301605,,,,0.50899285
Slovenia,35_44,,,,,,93.079475,,,,0.286970714
Spain ,35_44,,,,,,67.767387,,,,0.15590081
Sweden ,35_44,,,,,,82.890831,,,,0.28316566
Switzerland ,35_44,,,,,,89.344635,,,,0.21926227
Turkey,35_44,,,,,,44.336899,,,,0.188713458
United Kingdom,35_44,,,,,,84.67981,,,,0.34625283
United States,35_44,,,,,,90.240723,,,,0.18821354
China,35_44,,,,,,,,,,
Russia,35_44,,,,,,,,,,
OECD average,45_54,,,,,,78.30317763,,,,0.064200866
Australia ,45_54,,,,,,79.554688,,,,0.49433696
Austria,45_54,,,,,,84.889359,,,,0.21367492
Belgium ,45_54,,,,,,78.844002,,,,0.27639139
Canada,45_54,,,,,,92.068169,,,,0.2
Chile,45_54,,,,,,,,,,
Colombia,45_54,,,,,,45.593552,,,,0.16776456
Czech Republic ,45_54,,,,,,95.280449,,,,0.12730923
Denmark,45_54,,,,,,83.636169,,,,0.31553778
Estonia,45_54,,,,,,92.012985,,,,0.41398954
Finland,45_54,,,,,,91.369049,,,,0.22737949
France,45_54,,,,,,80.005173,,,,0.15109344
Germany ,45_54,,,,,,86.990974,,,,0.10020155
Greece ,45_54,,,,,,73.675438,,,,0.24192025
Hungary,45_54,,,,,,85.26152,,,,0.21378829
Iceland,45_54,,,,,,78.641411,,,,0.88532114
Ireland,45_54,,,,,,81.010124,,,,0.2791484
Israel,45_54,,,,,,84.91803,,,,0.15822549
Italy ,45_54,,,,,,57.694683,,,,0.16745704
Japan ,45_54,,,,,,,,,,
"Korea, Republic of",45_54,,,,,,92.874344,,,,0.249679404
Latvia,45_54,,,,,,90.467323,,,,0.40395296
Lithuania ,45_54,,,,,,95.136002,,,,0.21772073
Luxembourg ,45_54,,,,,,68.362221,,,,1.2800417
Mexico,45_54,,,,,,34.580116,,,,0.21525079
Netherlands,45_54,,,,,,78.213104,,,,0.15572068
New Zealand,45_54,,,,,,78.555305,,,,0.57455939
Norway,45_54,,,,,,84.584671,,,,0.287009
Poland,45_54,,,,,,92.163849,,,,0.15885077
Portugal,45_54,,,,,,44.85004,,,,0.3325448
Slovakia,45_54,,,,,,93.301109,,,,0.46241337
Slovenia,45_54,,,,,,86.428253,,,,0.354705484
Spain ,45_54,,,,,,60.188721,,,,0.15113485
Sweden ,45_54,,,,,,86.68502,,,,0.24664609
Switzerland ,45_54,,,,,,87.579269,,,,0.2123971
Turkey,45_54,,,,,,28.090252,,,,0.179367499
United Kingdom,45_54,,,,,,76.879395,,,,0.39201161
United States,45_54,,,,,,90.226448,,,,0.19806358
China,45_54,,,,,,,,,,
Russia,45_54,,,,,,,,,,
OECD average,55_64,,,,,,71.36000866,,,,0.0718725
Australia ,55_64,,,,,,69.953049,,,,0.58589715
Austria,55_64,,,,,,80.3946,,,,0.24098854
Belgium ,55_64,,,,,,67.165672,,,,0.30400753
Canada,55_64,,,,,,87.405098,,,,0.22
Chile,55_64,,,,,,,,,,
Colombia,55_64,,,,,,35.946922,,,,0.1749884
Czech Republic ,55_64,,,,,,91.393013,,,,0.1663242
Denmark,55_64,,,,,,75.533165,,,,0.34796679
Estonia,55_64,,,,,,91.857422,,,,0.41696814
Finland,55_64,,,,,,85.459534,,,,0.26406789
France,55_64,,,,,,69.427483,,,,0.17393358
Germany ,55_64,,,,,,86.629532,,,,0.10000983
Greece ,55_64,,,,,,56.133221,,,,0.2689611
Hungary,55_64,,,,,,80.686852,,,,0.22622544
Iceland,55_64,,,,,,70.37442,,,,0.94797492
Ireland,55_64,,,,,,68.088333,,,,0.35112268
Israel,55_64,,,,,,80.750885,,,,0.19238442
Italy ,55_64,,,,,,50.305454,,,,0.17364974
Japan ,55_64,,,,,,,,,,
"Korea, Republic of",55_64,,,,,,67.242752,,,,0.594213274
Latvia,55_64,,,,,,90.712082,,,,0.36243263
Lithuania ,55_64,,,,,,94.882156,,,,0.2053632
Luxembourg ,55_64,,,,,,57.935566,,,,1.4081671
Mexico,55_64,,,,,,28.997036,,,,0.24019787
Netherlands,55_64,,,,,,69.120743,,,,0.16413493
New Zealand,55_64,,,,,,72.164589,,,,0.64582914
Norway,55_64,,,,,,77.792206,,,,0.36001614
Poland,55_64,,,,,,89.331177,,,,0.15892752
Portugal,55_64,,,,,,30.541637,,,,0.29918116
Slovakia,55_64,,,,,,88.366936,,,,0.51912642
Slovenia,55_64,,,,,,81.405403,,,,0.398771707
Spain ,55_64,,,,,,47.676796,,,,0.16076769
Sweden ,55_64,,,,,,80.884621,,,,0.29020169
Switzerland ,55_64,,,,,,85.393677,,,,0.24006262
Turkey,55_64,,,,,,24.985056,,,,0.190040916
United Kingdom,55_64,,,,,,72.857742,,,,0.42360413
United States,55_64,,,,,,89.805473,,,,0.20613016
China,55_64,,,,,,,,,,
Russia,55_64,,,,,,,,,,
